AANG1	Peachtree Creek at Atlanta
ABAT2	Hubbard Creek below Albany
ABBG1	Ocmulgee River at Abbeville
ABDM6	Buttahatchie River near Aberdeen
ABEM6	Tombigbee River at Aberdeen Lock and Dam
ABIK1	Smoky Hill River near Abilene
ABNG1	Flint River (GA) at Albany
ABOM8	Clark Fork River above Missoula
ABRN1	Little Nemaha River near Auburn
ABRN8	Wild Rice River (ND) at Abercrombie
ABTI3	East Fork Whitewater River at Abington
ABTT2	Barton Creek at Loop 360
ABYT2	Clear Fork Brazos River near Fort Griffin
ACDG1	Middle Oconee River near Arcade
ACIT1	Cumberland River at Ashland City
ACML1	Black River at Acme
ACMN5	Pecos River below Acme
ACMP1	Allegheny River at C.W. Bill Young Lock and Dam
ACRT2	Colorado River (TX) at Austin
ADAK1	Salt Creek (KS) near Ada
ADAM4	Grand River at Ada
ADLC2	Arkansas River at Avondale
ADRM4	River Raisin near Adrian
AERK1	Walnut Creek (KS) above Alexander 4W
AESI4	South Skunk River near Ames US 30
AEXL1	Red River at Alexandria
AFBI2	Fox River at Algonquin tailwater
AFTW3	Rock River at Afton
AGAK1	Walnut River at Augusta
AGNI4	East Fork Des Moines River near Algona
AGSI4	Skunk River at Augusta
AGSK1	Whitewater River (KS) at Augusta
AGYM7	Platte River near Agency
AKAM5	
AKDA4	Ouachita River at Arkadelphia
AKRI4	Big Sioux River at Akron
AKWI4	South River (South Central IA) near Ackworth
ALBK1	Walnut Creek (KS) at Albert
ALBW3	Sugar River at Albany
ALDN1	Wood River near Alda
ALDW2	Greenbrier River at Alderson
ALEC2	East River (CO) at Almont
ALEK1	Mud Creek (KS) at Abilene
ALGL1	Boeuf River near Alto
ALKA2	Alsek River at Walker Glacier
ALLA2	Koyukuk River at Allakaket
ALLM1	Allagash River above Allagash
ALLM1ME	
ALMK1	Little Arkansas River at Alta Mills
ALMM4	Pine River at Alma
ALMW3	Mississippi River at Alma
ALNP1	Jordan Creek at Allentown
ALNP1JDN	
ALOI4	Cedar River at Waterloo
ALOT2	Angelina River near Alto
ALPI3	West Fork Whitewater River near Alpine
ALSM4	Sturgeon River near Alston
ALSQ9	Alsek River above Bates River
ALTF1	Chipola River near Altha (CR 274)
ALTI4	Floyd River at Alton
ALTV2	Roanoke River at Altavista
ALVK2	Drakes Creek near Alvaton
ALVM5	Snake River (09020309) at Alvarado
ALXO2	Washita River at Alex
ALYM7	Jacks Fork at Alley Spring
AMAT2	Canadian River at Amarillo
AMCK1	Neosho River near Americus
AMCO2	Cimarron River near Ames
AMEI4	South Skunk River near Ames W Riverside Rd
AMIL1	Tangipahoa River near Amite
AMTT2	Brazos River at Aspermont 10S
AMWI4	Squaw Creek (Central IA) at Ames Lincoln Way
AMYM6	Tombigbee River near Amory
ANDI3	White River (IN) at Anderson
ANDO2	Washita River at Anadarko
ANGM6	Big Sunflower River near Anguilla
ANNM4	Huron River at Ann Arbor
ANNM7	Black River near Annapolis
ANSI4	Wapsipinicon River at Anamosa Shaw Rd
ANTO2	Kiamichi River near Antlers
ANTT1	Mill Creek at Antioch
APBA2	Anchor River at Anchor Point
APCC1	Napa River near Napa
APHG1	Big Creek near Alpharetta
APLW3	Fox River (North) at Appleton
APMT2	
APNC2	Roaring Fork River (CO) near Aspen
APTA2	Anchor River at New Sterling Hwy
AQIT2	
AQLT2	Brazos River near Aquilla
ARCC1	Mad River near Arcata
ARCC2	Arkansas River at Rocky Ford
ARCF1	Peace River (FL) at Arcadia
ARCK1	Arkansas River at Arkansas City
ARCT2	Red River at Arthur City
ARCW3	Trempealeau River at Arcadia
ARDW1	Entiat River near Ardenvoir
ARGW1	North Fork Stillaguamish River near Arlington
ARHF1	Horse Creek (FL) near Arcadia
ARKK1	Walnut River at Arkansas City
ARLT1	Loosahatchie River at Arlington
ARLW1	Stillaguamish River at Arlington
ARNK1	Smoky Hill River near Arnold
ARNM7	Meramec River near Arnold
AROC1	Pajaro River at Chittenden
ARSA4	Mississippi River near Arkansas City
ARTN6	Black River at Watertown
ARTN6GRL	
ARTT1	Powell River near Arthur
ARTT2	Salt Fork - Brazos River near Aspermont 13N
ASDN1	Salt Creek at Ashland
ASEN6	Esopus Creek at Ashokan Reservoir East
ASFN6	East Branch of the Ausable River at Au Sable Forks
ASFN6LCH	
ASHK2	Ohio River at Ashland
ASLN1	Platte River near Ashland
ASRT2	Nueces River near Asherton
ASTF1	St. Johns River at Astor
ASTM1	Kennebec River at Augusta
ASTM1ME	
ASTM5	Cedar River at Austin
ATBT2	Attoyac Bayou near Chireno
ATCI4	East Nishnabotna River near Atlantic
ATCK1	Missouri River at Atchison
ATHO1	Hocking River at Athens
ATIT2	Onion Creek at US 183
ATKG1	Satilla River at Atkinson
ATKM5	Mississippi River near Aitkin
ATNS2	James River near Ashton
ATOK1	Verdigris River at Altoona
ATOT2	Neches River near Alto
ATSN5	Pecos River other Artesia
ATWC2	South Platte River at Atwood
AUBM1	Androscoggin River at Auburn
AUBM1ME	
AUGA4	White River near Augusta
AUGG1	Savannah River below Augusta (Butler Creek)
AUON6	Owasco Outlet at Auburn
AURO3	Pudding River at Aurora
AUSG1	Sweetwater Creek near Austell
AVAO2	Salt Fork Arkansas River near Alva
AVLA1	Tombigbee River at Bevill Lock and Dam
AVLN7	French Broad River at Asheville
AVOM4	Mill Creek near Avoca
AVON6	Genesee River at Avon
AVON6GRL	
AVTO2	Bird Creek at Avant
AYIT2	Ayish Bayou near San Augustine
AYSG1	Satilla River near Waycross
BABW3	Baraboo River near Baraboo
BACT2	Colorado River (TX) near Bay City
BAGA4	White River at Batesville
BAIN6	Susquehanna River at Bainbridge
BAIN6SUQ	
BAKF1	Blackwater River (AL) near Baker
BAKI3	East Fork White River at Columbus
BAMT2	Elm Creek (Colorado Basin WCTX) at Ballinger
BANN8	Souris River near Bantry
BARF1	Peace River (FL) at Bartow
BARK1	Little Blue River near Barnes 5N
BARN1	Big Blue River near Barneston
BAWT2	Brazos River above San Felipe
BAXG1	Altamaha River near Baxley
BBCW3	Yellow River (WI) at Babcock
BBGS1	Broad River in NC/SC near Blacksburg
BBOW3	Baraboo River at West Baraboo
BBRM1	Big Black River (ME) near Depot Mountain
BBRM1ME	
BBRW4	South Fork Shoshone River above Buffalo Bill Reservoir
BBST2	Buffalo Bayou at Shepherd Drive
BBVK2	Cumberland River at Barbourville
BBZT2	Brazos River near Bryan
BCDW1	Skookumchuck River near Bucoda
BCHM8	Beaver Creek (MT) near Hinsdale
BCHW3	Pecatonica River near Blanchardville
BCKA1	Mobile River at Barry Steam Plant
BCMM8	Battle Creek (North-central MT) near Chinook
BCNA1	Burnt Corn Creek at Hwy 41 near Brewton 1NW
BCRM4	Battle Creek at Battle Creek
BCRS1	Black Creek (SC) near Quinby
BDAT2	Medina River at Bandera
BDCL1	Bayou Des Cannes near Eunice
BDDP1	Monongahela River at Braddock Lock and Dam
BDFI4	East Fork 102 River at Bedford
BDGM3	Taunton River near Bridgewater
BDGM3SNE	
BDKN4	Raritan River at Bound Brook
BDKN4RTN	
BDYN1	Platte River at Brady
BEAC3	Naugatuck River at Beacon Falls
BEAI2	Illinois River at Beardstown
BEAN1	Big Blue River at Beatrice
BEAO3	Nestucca River near Beaver
BEAP1	Beaver River near Beaver Falls
BEAT2	Neches River at Beaumont
BECP1	Bald Eagle Creek near Beech Creek Station
BECP1BEC	
BECV2	James River (VA) at Bent Creek
BECV2JMS	
BEDI3	East Fork White River at Rivervale
BEKN1	S. Fork Republican River near Benkelman
BEKT2	Sabine River near Beckville
BELM6	Yazoo River at Belzoni
BELM8	Clark Fork River below Missoula
BELT1	Harpeth River at Bellevue
BELW2	Tygart Valley River at Belington
BEMT2	Mill Creek near Bellville
BENN1	Republican River near Benkelman
BERU1	Bear River near Utah/Wyoming State Line
BERW3	Fox River (North) at Berlin
BESM4	Black River near Bessemer
BETK1	Buckner Creek near Burdett
BETN3	Ammonoosuc River at Bethlehem
BETN3CT	
BETP1	Lehigh River at Bethlehem
BETP1LGH	
BEVN1	Beaver Creek near Beaver City
BEVO1	Muskingum River at BEVERLY
BEVW2	Ohio River at Belleville Lock
BFDF1	Suwannee River at Branford (US 27)
BFFO2	Cimarron River near Buffalo
BFKW4	Buffalo Fork near Moran
BFRI3	East Fork White River near Bedford
BFYG1	Savannah River at Burton&#039;s Ferry
BFYM8	Clarks Fork of the Yellowstone near Belfry
BGBM6	Tombigbee River at Bigbee
BGDA2	Tanana River at Big Delta
BGEG1	Flint River (GA) at Bainbridge (US 27)
BGET2	Big Sandy Creek (Brazos River Basin) above Breckenridge
BGPN1	North Platte River near Bridgeport
BGSO2	Deep Fork River near Beggs
BGWN7	N.E. Cape Fear River near Burgaw
BHBW4	Big Horn River at Basin
BHTA4	Little Missouri River (AR) near Boughton
BIGM7	Big Piney at Ft. Wood - East Gate
BILM8	Yellowstone River at Billings
BIRN7	Oconaluftee River at Birdtown
BITM8	Bitterroot River near Missoula
BKBN6	Schoharie Creek at Breakabeen
BKBN6HUD	
BKBT2	Red River near Burkburnett
BKDL1	Bundick Creek at Bundick Lake
BKGT2	
BKNM6	Black Creek near Brooklyn
BKRA4	Black River at Black Rock
BKWN4	Millstone River at Blackwells Mills
BKWN4MIL	
BLAN1	Missouri River near Blair
BLAN7	French Broad River at Blantyre
BLDA1	Black Warrior River at Bankhead Lock and Dam
BLET2	Leon River near Belton
BLFI3	Wabash River at Bluffton
BLFI4	Upper Iowa River at Bluffton
BLIM4	River Raisin at Blissfield
BLIT2	Colorado River (TX) near Ballinger
BLKO2	Chikaskia River near Blackwell
BLOF1	Apalachicola River near Blountstown
BLPK1	Ninnescah River near Belle Plaine
BLRK1	Big Blue River at Blue Rapids
BLRL1	Atchafalaya River above Butte La Rose
BLRM7	Big Creek near Blairstown
BLRS1	
BLSK2	Licking River at Blue Licks Spring
BLTK1	Solomon River at Beloit
BLTN7	Swannanoa River at Biltmore
BLUO2	Blue River (OK) near Blue
BLVI4	Mississippi River at Bellevue
BLVM7	Blackwater River near Blue Lick
BLXF1	Ochlockonee River near Bloxham (SR 20)
BMBP1	Susquehanna River at Bloomsburg
BMBP1SUQ	
BNAA1	Big Nance Creek (AL) at Courtland
BNNV2	James River (VA) at Buchanan
BNNV2JMS	
BNTV1	Walloomsac River near North Bennington
BNTV1HUD	
BNYM8	Tongue River at Birney Day School near Birney
BOGT1	Obion River near Bogota
BOIW3	Turtle Creek at Beloit
BOLI2	East Branch Du Page River at Bolingbrook
BOLI3	Eel River at Bowling Green
BOLT2	San Bernard River near Boling
BONM7	Petite Saline Creek near Boonville
BONM8	Blackfoot River near Bonner
BONN4	Rockaway River at Boonton below reservoir
BONN4RWY	
BOOK2	South Fork Kentucky River at Booneville
BOON6	Black River at Boonville
BOON6GRL	
BORW4	Smiths Fork near Border
BOSW4	Laramie River near Bosler
BOTN4	Rockaway River at Boonton above reservoir
BOTN4RWY	
BOVM6	Big Black River near Bovina
BOYT2	West Fork Trinity River near Boyd
BOZM7	Missouri River at Boonville
BPNW4	New Fork River near Big Piney
BPRM1	Penobscot River at Bangor
BPRM1ME	
BRAN6	St. Regis River at Brasher Center
BRAN6STL	
BRAT2	Brady Creek at Brady
BRAW2	Guyandotte River at Branchland
BRCM6	Skuna River at Bruce
BREN8	Cannonball River at Breien
BREP1	Schuylkill River at Berne
BREP1SCH	
BRFW3	Black River (WI) at Black River Falls
BRGC1	Van Duzen River near Bridgeville
BRGW3	Fox River at Burlington
BRIO2	Canadian River near Bridgeport
BRKI2	Ohio River at Brookport Lock and Dam
BRKI3	Whitewater River at Brookville
BRKM2	Potomac River near Washington DC (Little Falls)
BRKM2POT	
BRKS2	Big Sioux River near Brookings
BRLI4	Mississippi River at Burlington
BRLK1	Neosho River at Burlington
BRLM7	Nodaway River near Burlington Junction
BRMA2	Middle Fork Bradley River near Homer
BRNK1	Salt Creek (KS) at Barnard
BRNK2	
BRON1	Missouri River at Brownville
BROV2	Roanoke River at Brookneal
BROW3	Sugar River at Brodhead
BRPF1	Perdido River near Barrineau Park
BRPT2	Big Sandy Creek (Trinity River Basin) near Bridgeport
BRSN3	Smith River  (NH) at Bristol
BRSN3MER	
BRTA2	Bradley River near Homer
BRTN6	Schoharie Creek at Burtonsville
BRTN6HUD	
BRTT2	Colorado River (TX) at Bastrop
BRUA2	Upper Bradley River near Homer
BRUF1	Choctawhatchee River near Bruce-Ebro (SR 20)
BRVT2	Sabine River near Burkeville
BRYA4	Kings River near Berryville
BSBA1	Flint River (AL) at Brownsboro
BSHL1	Bogue Chitto River near Bush
BSKT2	
BSLL1	Bayou Nezpique at Basile
BSLM5	Minnesota River at Big Stone Lake
BSMM8	Big Sandy Creek (MT) near Havre
BSMT2	Blanco River at San Marcos
BSNK2	Rolling Fork River near Boston
BSNT2	Big Sandy Creek near Big Sandy
BSPN7	Broad River in NC/SC near Boiling Springs
BSRL1	Atchafalaya River at Bayou Sorrel Lock
BSSI4	Cedar Creek (South Central IA) near Bussey
BSST2	San Saba River near Brady
BTAM6	Big Black River near Bentonia
BTCM4	Kalamazoo River at Battle Creek
BTMM8	Boulder River at Big Timber
BTNA4	Saline River at Benton
BTRL1	Mississippi River at Baton Rouge
BTTA2	Koyukuk River at Bettles
BTTK1	Pawnee River near Burdett
BTTN6	Battenkill below Mill at Battenville
BTTN6HUD	
BTVN6	Tonawanda Creek at Batavia
BTVN6GRL	
BTYO3	Sprague River near Beatty
BUCW2	Greenbrier River at Buckeye
BUEC2	Blue River (CO) at Blue River
BUMT2	Nolan River at Blum
BURM4	St. Joseph River (MI/IN) at Burlington
BVAW2	Gauley River at Belva
BVCL1	Bayou Vermilion near Carencro
BVCM7	Blue River at Colorado Avenue
BVDI2	Kishwaukee River at Belvidere
BVDN4	Delaware River at Belvidere
BVDN4DEL	
BVLO1	Paint Creek near Bourneville
BVLO2	Caney River at Bartlesville
BVRN8	Beaver Creek (South Central ND) at Linton
BVRO2	Beaver River at Beaver
BVRT1	Hatchie River near Bolivar
BVSN1	Sappa Creek near Beaver City
BVSV2	Maury River near Buena Vista
BVSV2MRY	
BVTM4	Tobacco River at Beaverton
BVUK1	Kansas River near Belvue
BVWT2	Sister Grove Creek near Blue Ridge
BWDT2	Pecan Bayou at Brownwood
BWGK2	Barren River at Bowling Green
BWMA1	Murder Creek (AL) at Brewton
BWRT2	Sabine River near Bon Wier
BWSW4	Belle Fourche River at Wyoming-South Dakota State Line
BWTA1	Conecuh River at Brewton
BXAL1	Pearl River near Bogalusa
BXTK1	Spring River  near Baxter Springs
BXTK2	Cumberland River at Baxter
BYML1	Amite River at Bayou Manchac Point
BYNN7	Haw River near Bynum
BYRI2	Rock River at Byron
BYRM7	Big River at Byrnesville
BZNC2	South Platte River near Balzac
CAAT2	Nueces River at Calallen
CACS2	Little Missouri River at Camp Crook
CAGM7	Mississippi River at Winfield Lock and Dam 25
CAGO2	Washita River near Carnegie
CALA4	Ouachita River at Thatcher L&D
CALK2	Green River (KY) at Calhoun Lock and Dam
CAMA4	Ouachita River at Camden
CAMI1	Weiser River at Cambridge
CAMN1	Republican River at Cambridge
CAMN4	Passaic River at Chatham
CAMN4PSC	
CANM7	Mississippi River at Canton Lock and Dam 20
CANO2	Clear Boggy Creek above Caney Creek near Caney
CANO3	Molalla River near Canby
CARF1	Choctawhatchee River at Caryville (US 90)
CARG1	Broad River in GA near Carlton
CARI2	Little Wabash River at Carmi
CARM6	Pearl River near Carthage
CARO2	North Fork of the Red River near Carter
CART2	Elm Fork Trinity River near Carrollton
CARV1	Poultney River below Fair Haven
CARV1LCH	
CARV2	James River (VA) at Cartersville
CARV2JMS	
CASU1	Spanish Fork near Castilla
CASW1	Cowlitz River at Castle Rock
CATA1	Catoma Creek near Montgomery
CAXM7	Wakenda Creek at Carrollton
CBEM2	North Branch Potomac River at Cumberland
CBEM2POT	
CBNK1	Chikaskia River near Corbin
CBST2	Colorado River (TX) at Columbus
CBUG1	Chattahoochee River at Columbus
CBUM6	Tombigbee River at Stennis Lock and Dam
CBVT2	Nueces River near Bluntzer
CCGT2	Cypress Creek near Cypress
CCKO2	Washita River near Chickasha
CCMM8	Clear Creek (North-central MT) near Chinook near mouth
CCNO1	Ohio River at Cincinnati
CCRN6	Delaware River at Callicoon
CCRN6DEL	
CCTM6	Yalobusha River at Calhoun City
CCVT2	Coleto Creek at Highway 59
CCYI4	Cedar River at Charles City
CDBK1	Beaver Creek at Cedar Bluffs
CDCT2	Colorado River (TX) other Colorado City
CDFP1	Brandywine Creek at Chadds Ford
CDFP1BYW	
CDIO1	Wills Creek at Cambridge
CDLI2	Sangamon River near Chandlerville
CDMC2	Arkansas River below Catlin Dam
CDNT2	Canadian River at Canadian
CDRW3	Cedar Creek at Cedarburg
CEAS1	Congaree River at Carolina Eastman
CEDI4	Cedar River at Cedar Falls
CEDP1	Pine Creek at Cedar Run
CEDP1PNE	
CEDW3	Milwaukee River near Cedarburg
CENI3	White River (IN) at Eagle Valley Power Plant
CENV1	Otter Creek at Center Rutland
CENV1LCH	
CENW1	Chehalis River at Centralia
CFKT2	West Fork San Jacinto River near Conroe
CFVK1	Verdigris River at Coffeyville
CFXI4	South Skunk River at Colfax
CGGC2	Yampa River below Craig
CGMW1	Chehalis River near Grand Mound
CGSL1	Bogue Falaya River near Camp Covington
CHAA2	Chatanika River at Elliot Hwy Bridge
CHAG1	Chattahoochee River at Atlanta South Cobb Drive
CHAS1	Saluda River at Chappells
CHBI2	Iroquois River near Chebanse
CHCO1	Scioto River at Chillicothe
CHEN6	Chemung River at Elmira
CHEN6CMG	
CHES1	Pee Dee River at Cheraw
CHFA2	Chena River at Fairbanks
CHGA1	Cahaba River near Cahaba Heights
CHIN7	N.E. Cape Fear River near Chinquapin
CHKI4	Little Sioux River at Cherokee
CHKT1	S. Chickamauga Creek near Chickamauga
CHLA1	Coosa River at Childersburg
CHLA2	Little Chena River at Chena Hot Springs Road
CHLT2	Prairie Dog Town Fork of the Red River at Childress 10N
CHPK1	Chapman Creek near Chapman
CHPM4	
CHRA2	Chester Creek at Arctic Blvd
CHRG1	Altamaha River near Charlotteville
CHRN6	Black Creek at Churchville
CHRN6GRL	
CHRP1	Monongahela River at Charleroi Lock and Dam
CHSA1	Flint River (AL) near Chase
CHTI4	Chariton River near Chariton
CHTM7	Spring River  at Carthage
CHVT2	South Concho River at Christoval
CHYO2	Washita River near Cheyenne
CHZM7	Grand River near Chillicothe
CIDI4	Cedar River at Cedar Rapids
CINN6	Otselic River at Cincinnatus
CINN6OTS	
CIRI2	Ohio River at Cairo
CIVU1	Chalk Creek near Coalville
CJTI4	Iowa River at Columbus Jct
CKFN6	Beaver Kill at Cooks Falls
CKFN6BVR	
CKLA1	Cahaba River at Centreville
CKLN6	Susquehanna River at Conklin
CKLN6SUQ	
CKTA2	Chilkat River near Klukwan
CKVT1	Cumberland River at Clarksville
CKYM6	Chunky River near Chunky
CLAI2	Little Wabash River below Clay City
CLAT1	Cumberland River at Celina
CLBA1	Alabama River near Claiborne Dam
CLBN1	Shell Creek at Columbus
CLBT2	North Concho River near Carlsbad
CLDA1	Tombigbee River near Coffeeville Dam
CLDA4	White River at Clarendon
CLDI1	St Joe River at Calder
CLDK1	Elk Creek (KS) at Clyde
CLDM4	Thornapple River at Caledonia
CLDT2	East Fork San Jacinto River at Cleveland
CLFI3	Ohio River at Clifty Creek
CLIO2	Washita River near Clinton
CLIW3	Turtle Creek near Clinton
CLKM7	Mississippi River at Clarksville Lock and Dam 24
CLKW2	West Fork River near Clarksburg
CLLP1	Youghiogheny River at Connellsville
CLMI2	La Moine River at Colmar
CLMM3	
CLMM3CT	
CLMM6	Pearl River near Columbia
CLNP1	Allegheny River at Clinton Lock and Dam
CLPV2	Rapidan River near Culpeper
CLPV2RPN	
CLRA4	White River at Calico Rock
CLRO2	Verdigris River near Claremore
CLSM6	Leaf River near Collins
